MESS_DATUM,kWh,RSK,SDK,SHK_TAG,NM,TMK
2022-07-03,29.9,0.0,12.833,0,2.9,23.6
2022-07-04,26.7,0.0,10.133,0,6.8,21.4
2022-07-05,32.6,0.0,14.833,0,0.2,20.9
2022-07-06,29.2,0.0,12.533,0,3.4,18.8
2022-07-07,13.8,0.0,3.25,0,5.7,18.0
2022-07-08,33.8,0.0,14.967,0,1.0,18.1
2022-07-09,31.8,0.0,13.883,0,5.9,19.9
2022-07-10,33.9,0.0,14.1,0,1.8,18.8
2022-07-11,32.5,0.0,14.3,0,2.5,19.0
2022-07-12,32.1,0.0,14.767,0,4.1,20.9
2022-07-13,24.0,0.0,8.533,0,5.3,23.3
2022-07-14,29.4,0.0,12.633,0,5.6,26.1
2022-07-15,32.1,0.0,14.65,0,0.1,20.7
2022-07-16,32.6,0.0,14.8,0,1.2,20.1
2022-07-17,32.0,0.0,14.733,0,1.0,21.3
2022-07-18,31.0,0.0,14.417,0,4.3,23.6
2022-07-19,30.9,0.0,14.65,0,0.7,26.8
2022-07-20,17.9,24.0,8.367,0,5.5,24.8
2022-07-21,29.7,0.0,12.667,0,2.0,22.8
2022-07-22,28.5,1.9,12.417,0,3.0,23.4
2022-07-23,25.4,0.0,8.883,0,6.5,23.5
2022-07-24,31.2,0.0,14.45,0,2.0,24.3
2022-07-25,23.4,0.0,11.5,0,2.6,26.2
2022-07-26,27.5,0.0,9.733,0,5.1,22.2
2022-07-27,30.5,0.0,10.983,0,4.3,20.8
2022-07-28,27.1,0.0,10.9,0,6.6,22.1
2022-07-29,18.6,0.0,4.883,0,6.1,22.6
2022-07-30,25.0,0.0,11.117,0,3.4,22.9
2022-07-31,29.2,0.0,12.317,0,3.8,24.4
2022-08-01,20.9,19.3,8.867,0,3.0,22.0
2022-08-02,31.5,0.0,12.717,0,5.8,22.2
2022-08-03,30.6,0.0,14.1,0,2.4,25.2
2022-08-04,29.5,0.0,13.517,0,2.0,27.9
2022-08-05,23.1,0.0,8.817,0,7.3,25.1
2022-08-06,28.1,0.0,10.133,0,4.3,21.3
2022-08-07,32.2,0.0,13.867,0,0.0,20.2
2022-08-08,31.0,0.0,13.817,0,1.5,21.4
2022-08-09,31.0,0.0,13.8,0,0.3,22.8
2022-08-10,30.9,0.0,13.733,0,0.1,23.1
2022-08-11,30.9,0.0,13.7,0,2.1,23.1
2022-08-12,30.5,0.0,13.65,0,0.5,22.6
2022-08-13,30.9,0.0,13.6,0,0.1,23.5
2022-08-14,22.8,0.7,8.8,0,7.1,23.2
2022-08-15,22.2,16.9,8.95,0,5.5,21.1
2022-08-16,30.0,0.3,13.117,0,2.4,23.0
2022-08-17,13.5,7.7,2.567,0,7.6,21.5
2022-08-18,9.0,0.3,0.133,0,7.9,19.8
2022-08-19,12.9,0.4,3.067,0,6.4,21.3
2022-08-20,19.2,14.5,5.533,0,4.5,19.9
2022-08-21,29.7,0.0,12.417,0,3.9,19.7
2022-08-22,30.0,0.0,12.283,0,3.1,21.3
2022-08-23,29.1,0.0,12.917,0,2.1,22.6
2022-08-24,27.2,0.0,12.917,0,7.6,23.7
2022-08-25,29.4,0.0,12.95,0,0.0,23.6
2022-08-26,23.8,0.0,11.183,0,6.3,22.8
2022-08-27,19.2,0.2,4.05,0,6.9,21.0
2022-08-28,24.5,0.0,8.9,0,4.2,20.8
2022-08-29,27.9,0.0,12.583,0,3.0,21.2
2022-08-30,20.8,19.3,8.667,0,6.2,22.3
2022-08-31,21.4,0.0,4.833,0,6.6,19.5
2022-09-01,24.4,0.0,9.7,0,5.6,19.1
2022-09-02,25.3,1.5,10.45,0,3.9,19.7
2022-09-03,14.7,5.8,2.65,0,5.8,18.3
2022-09-04,29.1,0.0,12.383,0,0.8,19.8
2022-09-05,23.6,0.0,9.683,0,4.4,21.0
2022-09-06,22.0,0.0,7.083,0,7.0,21.7
2022-09-07,16.5,9.7,6.417,0,5.0,20.7
2022-09-08,19.9,0.0,5.65,0,6.0,19.1
2022-09-09,16.4,6.5,3.75,0,6.5,18.3
2022-09-10,8.1,6.3,0.633,0,7.9,16.1
2022-09-11,25.8,0.0,6.767,0,4.0,17.3
2022-09-12,27.4,0.0,11.083,0,5.3,17.2
2022-09-13,21.6,9.5,8.833,0,7.4,20.1
2022-09-14,9.5,13.0,2.35,0,7.8,20.5
2022-09-15,12.3,13.9,2.45,0,7.0,17.4
2022-09-16,10.6,4.0,0.85,0,7.5,13.9
2022-09-17,13.7,0.2,2.467,0,7.8,12.2
2022-09-18,13.1,0.0,1.633,0,7.9,13.2
2022-09-19,17.0,0.0,4.217,0,4.2,11.8
2022-09-20,14.1,0.0,5.117,0,6.1,10.8
2022-09-21,24.9,0.0,10.033,0,0.8,11.0
2022-09-22,28.2,0.0,11.3,0,1.5,11.0
2022-09-23,19.0,0.0,5.617,0,8.0,12.7
2022-09-24,11.7,2.0,1.617,0,7.5,14.3
2022-09-25,8.8,2.7,0.85,0,7.6,13.2
2022-09-26,9.8,6.2,2.567,0,7.6,12.9
2022-09-27,8.2,15.9,1.167,0,7.8,10.7
2022-09-28,6.1,0.0,0.0,0,7.9,11.2
2022-09-29,9.8,0.0,0.933,0,7.9,10.9
2022-09-30,20.9,2.0,5.55,0,4.3,11.0
2022-10-01,2.4,0.3,0.05,0,7.9,12.5
2022-10-02,5.1,32.2,0.45,0,7.9,15.7
2022-10-03,19.7,0.0,5.05,0,6.7,12.0
2022-10-04,24.3,0.0,6.9,0,4.8,10.9
2022-10-05,26.0,0.0,10.417,0,2.5,15.9
2022-10-06,15.5,0.0,3.983,0,6.8,15.1
2022-10-07,22.6,0.0,9.533,0,7.9,15.5
2022-10-08,20.0,0.0,7.35,0,5.2,13.7
2022-10-09,23.4,0.0,7.25,0,2.8,11.6
2022-10-10,20.3,0.2,8.033,0,5.6,16.4
2022-10-11,8.3,0.0,0.4,0,7.9,13.8
2022-10-12,17.6,0.0,4.767,0,4.6,12.8
2022-10-13,7.3,0.0,0.25,0,7.6,13.3
2022-10-14,5.1,7.2,0.0,0,7.7,15.4
2022-10-15,6.4,0.2,0.167,0,7.8,17.4
2022-10-16,13.9,0.0,4.4,0,7.4,17.6
2022-10-17,21.1,0.0,9.467,0,5.3,17.2
2022-10-18,18.6,0.0,5.75,0,4.6,17.6
2022-10-19,11.0,0.2,2.2,0,7.9,14.3
2022-10-20,3.9,7.6,0.017,0,7.9,13.5
2022-10-21,1.8,28.5,0.0,0,7.9,15.4
2022-10-22,21.8,0.0,8.7,0,5.6,16.2
2022-10-23,10.9,5.2,3.9,0,7.9,16.6
2022-10-24,8.2,9.9,1.933,0,6.6,17.2
2022-10-25,19.7,0.2,8.3,0,4.4,14.6
2022-10-26,13.7,0.0,3.667,0,6.7,15.8
2022-10-27,19.0,0.0,8.55,0,4.0,14.9
2022-10-28,13.1,0.0,4.067,0,7.7,17.6
2022-10-29,13.8,0.0,6.683,0,6.8,15.8
2022-10-30,13.7,0.0,6.933,0,8.0,14.6
2022-10-31,7.6,2.8,1.017,0,8.0,12.1
2022-11-01,8.3,0.1,2.333,0,6.5,13.8
2022-11-02,16.6,0.0,5.067,0,7.0,11.5
2022-11-03,4.8,8.9,0.583,0,7.8,9.9
2022-11-04,9.2,7.5,2.5,0,7.8,10.8
2022-11-05,7.3,0.0,1.433,0,7.5,8.5
2022-11-06,9.6,0.1,3.983,0,6.3,7.6
2022-11-07,5.6,0.0,0.967,0,6.5,12.1
2022-11-08,9.5,5.1,2.5,0,8.0,11.0
2022-11-09,1.9,14.9,0.0,0,7.8,13.0
2022-11-10,18.7,0.0,8.133,0,4.5,10.0
2022-11-11,10.6,0.1,3.9,0,7.7,6.9
2022-11-12,1.5,0.1,0.0,0,8.0,6.1
2022-11-13,1.0,0.1,0.0,0,8.0,5.8
2022-11-14,2.0,0.1,0.0,0,7.9,9.0
2022-11-15,3.0,6.6,0.0,0,7.8,11.7
2022-11-16,14.1,0.0,6.033,0,7.1,11.4
2022-11-17,4.6,19.9,1.25,0,7.5,12.0
2022-11-18,5.8,1.9,1.483,0,7.6,9.3
2022-11-19,7.8,0.3,2.367,0,7.7,8.2
2022-11-20,4.0,6.5,0.633,0,7.6,7.5
2022-11-21,9.4,1.6,3.433,0,-999.0,7.8
2022-11-22,4.6,0.7,0.433,0,-999.0,7.9
2022-11-23,14.4,2.4,6.0,0,-999.0,7.8
2022-11-24,9.9,4.2,3.667,0,-999.0,8.3
2022-11-25,4.7,1.2,1.383,0,-999.0,7.4
2022-11-26,10.8,0.0,5.567,0,-999.0,6.6
2022-11-27,3.4,0.0,0.0,0,-999.0,5.1
2022-11-28,1.9,3.2,0.0,0,-999.0,7.1
2022-11-29,0.7,1.4,0.0,0,-999.0,7.4
2022-11-30,1.3,0.0,0.0,0,-999.0,7.2
2022-12-01,0.7,0.0,0.0,0,-999.0,4.0
2022-12-02,0.6,0.1,0.0,0,-999.0,3.7
2022-12-03,1.9,0.0,0.0,0,-999.0,1.7
2022-12-04,0.8,3.9,0.0,0,-999.0,1.8
2022-12-05,0.3,0.0,0.333,0,-999.0,4.8
2022-12-06,3.2,0.0,0.0,0,-999.0,4.0
2022-12-07,10.2,0.0,1.05,0,-999.0,3.4
2022-12-08,0.9,0.0,1.733,0,-999.0,0.6
2022-12-09,7.9,0.0,0.0,0,-999.0,-1.2
2022-12-10,1.1,0.9,0.0,0,-999.0,0.5
2022-12-11,2.8,0.0,0.083,0,-999.0,-1.7
2022-12-12,2.4,0.0,4.967,0,-999.0,-3.0
2022-12-13,12.9,0.1,1.333,0,-999.0,-4.6
2022-12-14,4.0,9.0,0.0,0,-999.0,-1.3
2022-12-15,0.9,0.4,0.0,4,-999.0,-1.5
2022-12-16,1.7,0.0,5.417,5,-999.0,-3.8
2022-12-17,14.0,0.0,0.0,4,-999.0,-7.2
2022-12-18,7.9,0.1,0.0,4,-999.0,-7.0
2022-12-19,0.4,0.0,1.567,3,-999.0,1.0
2022-12-20,3.2,8.5,0.2,1,-999.0,6.2
2022-12-21,2.0,4.0,1.583,0,-999.0,11.7
2022-12-22,6.9,6.9,0.0,0,7.7,11.7
2022-12-23,3.2,7.0,0.0,0,7.7,13.2
2022-12-24,0.6,0.0,0.317,0,7.8,11.5
2022-12-25,0.9,0.0,3.917,0,7.8,11.2
2022-12-26,1.9,5.8,0.0,0,7.7,11.4
2022-12-27,3.9,0.0,2.117,0,5.5,4.5
2022-12-28,0.6,0.0,2.2,0,7.9,9.1
2022-12-29,0.9,8.3,0.717,0,7.8,11.5
